,index,VendorName,ProfitMargin
0,0,BROWN-FORMAN CORP,25.29769251495844
1,1,MARTIGNETTI COMPANIES,21.062809523583688
2,2,PERNOD RICARD USA,24.67578583081931
3,3,DIAGEO NORTH AMERICA INC,27.13990840804228
4,4,DIAGEO NORTH AMERICA INC,28.41276420042616
5,5,BACARDI USA INC,27.106980369877302
6,6,PERNOD RICARD USA,21.49309821248119
7,7,DIAGEO NORTH AMERICA INC,19.43281151750012
8,8,DIAGEO NORTH AMERICA INC,27.90206772102704
9,9,JIM BEAM BRANDS COMPANY,27.181080999862182
10,10,PERNOD RICARD USA,28.783124781037777
11,11,DIAGEO NORTH AMERICA INC,18.605389250080304
12,12,BACARDI USA INC,32.49189293736475
13,13,MAJESTIC FINE WINES,37.22839740461537
14,14,ULTRA BEVERAGE COMPANY LLP,27.734904803486636
15,15,DIAGEO NORTH AMERICA INC,18.65917755704292
16,16,PERNOD RICARD USA,24.167054387222734
17,17,DIAGEO NORTH AMERICA INC,32.4918167534434
18,18,DIAGEO NORTH AMERICA INC,27.128210411868363
19,19,DIAGEO NORTH AMERICA INC,19.45549929864867
20,20,BACARDI USA INC,27.339386760572737
21,21,BACARDI USA INC,24.82310693869595
22,22,"STOLI GROUP,(USA) LLC",20.915367234864924
23,23,BACARDI USA INC,30.557677552756967
24,24,JIM BEAM BRANDS COMPANY,26.531068460455298
25,25,JIM BEAM BRANDS COMPANY,23.438626247618423
26,26,PROXIMO SPIRITS INC.,24.924740687302986
27,27,BACARDI USA INC,33.232584931584306
28,28,MOET HENNESSY USA INC,30.689722065716822
29,29,DIAGEO NORTH AMERICA INC,26.255182087491107
30,30,PROXIMO SPIRITS INC.,26.524494639802732
31,31,CAMPARI AMERICA,22.471612800875093
32,32,MOET HENNESSY USA INC,33.85097448120648
33,33,PERNOD RICARD USA,16.714627569371114
34,34,SAZERAC CO INC,16.871098037939188
35,35,PERNOD RICARD USA,24.59466331678899
36,36,BACARDI USA INC,26.866023913612796
37,37,MARTIGNETTI COMPANIES,29.63763702850682
38,38,BROWN-FORMAN CORP,32.82232394439025
39,39,JIM BEAM BRANDS COMPANY,18.82843104628108
40,40,SAZERAC CO INC,30.74375014445834
41,41,PERNOD RICARD USA,18.475382757001974
42,42,DIAGEO NORTH AMERICA INC,23.79593138804717
43,43,PERNOD RICARD USA,22.710176933710148
44,44,DIAGEO NORTH AMERICA INC,41.26965228564459
45,45,CONSTELLATION BRANDS INC,20.906844271271613
46,46,SAZERAC CO INC,24.337414811072687
47,47,CONSTELLATION BRANDS INC,27.37794480684905
48,48,MARTIGNETTI COMPANIES,38.31731341392875
49,49,M S WALKER INC,20.88870559929906
50,50,BROWN-FORMAN CORP,31.137564481332085
51,51,DIAGEO NORTH AMERICA INC,28.821787785017538
52,52,SAZERAC NORTH AMERICA INC.,30.518273865274015
53,53,CONSTELLATION BRANDS INC,39.75094236502571
54,54,DIAGEO NORTH AMERICA INC,18.274904940774793
55,55,DIAGEO NORTH AMERICA INC,29.218382304155853
56,56,BROWN-FORMAN CORP,20.85170689876997
57,57,JIM BEAM BRANDS COMPANY,26.957658681079266
