Description	TotalSalesDollars	ProfitMargin
.nparalleled Svgn Blanc	5473.149999999975	29.97816613832954
12 Days of Pearls Gift Set	1548.4500000000012	97.67832348477509
13th Colony Sthrn Corn Whsky	1799.1000000000004	42.44622311155579
14 Hands Moscato	3990.749999999976	28.512184426485828
14 Hands Rsl Wash	2657.3999999999946	22.781666290358842
2 Copas Spain White	599.4	33.33333333333333
2 Gingers Irish Whiskey	1609.3000000000004	40.88734232274902
20 Mile 09 Brdx Superior	9747.399999999974	83.76900506801809
360 Glazed Donut Vodka	519.6000000000001	100.0
4 Orange Vodka	2418.9000000000005	85.90268303774444
44* North Huckleberry Vodka	5285.149999999993	12.876644939121745
44* North Magic Valley Vodka	6746.999999999994	53.846153846153776
900 Grapes Svgn Bl	299.7	32.43243243243243
A Bichot Adelie Mercury	4078.799999999994	72.0383446111601
A Bichot Ch Gris Nuits St Ge	3244.4499999999957	93.7308326526838
A Bichot Chablis Vaucopins	8117.199999999988	96.33001527620362
A Bichot Champs Martin	1229.7	100.0
A Bichot Clos Marechaudes	2699.699999999999	67.74086009556616
A Bichot Merc Champs M	2579.399999999999	94.55299682096611
A Bichot Savigny Beaune	1224.75	100.0
A Innocenti Nonni Cab Svgn	3117.6000000000004	17.725173210161714
A by Acacia Red Cal	719.4	45.204336947456206
A to Z Rose	3992.6499999999955	14.342604535834477
A to Z Rsl	5012.049999999988	33.31371394938182
Aalto Ribera Del Duero Red	249.95000000000002	32.426485297059415
Abadia de la Oliva Blanca	1019.4	100.0
Absolut Elyx	3374.249999999999	17.94324664740313
Absolut Hibiskus	769.6500000000002	27.5579809004093
Absolut Mango	4178.099999999999	100.0
Absolut Orient Apple Vodka	599.7000000000002	87.65215941303987
Absolut Peppar Vodka	1199.4	19.739036184759062
Absolut Wild Tea	4509.399999999987	83.92801703109056
Acacia Winery Pnt Nr Carnero	2239.2	3.4990175062522293
Achaval Ferrer Cab Svgn	1149.5000000000002	15.010874293170968
Acorn Medley Alegria RRV	9671.250000000015	85.0851751324803
Adelsheim Auxerrois Ribbon S	4507.949999999983	78.57340919930337
Adelsheim Caitlins Rsv Chard	8197.949999999973	61.985618355808334
Adelsheim Chard Willmete Vly	9066.199999999955	45.520725331450635
Adissat Cotes du Rhone	6220.849999999952	89.62440824003143
Adissat Gabrielle Ch du Pape	3199.199999999997	74.83120780195047
Admiral Nelson Egg Nog	2251.549999999999	79.38753303279962
Agavero Orange Liqueur Agave	6047.2499999999845	40.305924180412454
Agavero Tequila Liqueur	4028.4499999999994	13.161389616353647
Agua de Piedra Malbec Selecn	3535.8000000000025	37.99423044289837
Aguardiente Cristal Liqueur	7079.549999999961	16.977774011059484
Alabaster 07 Tinta de Toro	3374.75	86.39454774427735
Alain Lorieux Chinon Express	2428.6499999999983	59.68130442838612
Albero Sparkling Wh Organic	28.95	28.497409326424872
Albert I Noya Xarello Clsc	4556.699999999982	35.51912568305982
Alberto Furque Malbec Mendoz	6895.399999999998	48.59181483307707
Alexana Pnt Nr Willamette	4597.99999999999	15.832970856894098
Alexander Vly Vyds Sin Znfdl	2398.8000000000006	35.46773386693349
Alexander Vly Wicked Weekend	3118.049999999995	100.0
Alias Cab Svgn	4560.849999999989	38.11679840380619
Alias Chard	2912.349999999999	24.9678095009185
Alibi Whiskey	2658.599999999999	63.50710900473933
Alice White Cab Svgn Ausl	69.95	100.0
Alice White Lexia Muscato	2564.2499999999977	40.80140391927457
Alisios Pinot Grigio	599.4	33.33333333333333
Alize Coco Liqueur	479.70000000000016	21.263289555972502
Alize Gold Passion	99.94999999999999	100.0
Alize Red Passion	699.6500000000001	31.43714714500108
Allegrini La Grola Veronese	3148.949999999997	21.19277854522929
Allegrini Solosole Vermentin	9245.149999999949	40.347100912369946
Allen's Amaretto Liqueur	509.15000000000043	45.67416282038696
Allen's Blue Curacao Liqueur	29.950000000000003	20.03338898163607
Allen's Ginger Brandy	2323.5000000000005	11.142672692059454
Allen's Pomegranate Liqueur	539.1000000000006	13.522537562604436
Allens Coffee Brandy Trv	1400.8500000000013	100.0
Alma Negra Gran Almanegra	1249.75	86.20524104820963
Almaden Moscato	5756.799999999993	21.375590605891986
Almaden Moscato Rhine	1303.5500000000009	19.911012235817648
Alpataco Malbec	2878.2000000000007	32.45778611632274
Alpataco Pnt Nr	3677.699999999995	47.48348152377837
Alphonse Dolly Pouilly-Fume	9570.79999999995	14.202574497429273
Alta Classe Mntplcno Abruzzo	1637.9500000000014	60.7314020574499
Alta Vista Malbec Mendoza	689.4000000000003	42.81984334203657
Alta Vista Rose	1293.8500000000008	100.0
Altadonna Nero D'Avola	7974.299999999939	86.8678128487766
Altadonna Vermentino	2652.049999999997	96.49327878433664
Altocedro Finca Tanos Malbec	8919.74999999996	23.950222820145946
Altocedro Malbec Reserva	1199.6	31.04368122707568
Amadeo Chianti	958.8	31.53942428035044
Amapola Creek Cuvee Alis Org	749.7000000000002	100.0
Amapola Creek Znfdl 09	1439.8	100.0
Amaro Sfumato Rabarbaro	219.89999999999998	21.282401091405177
Amauta Corte IV -Red Blend	569.7000000000002	100.0
Ame Neyers Cab Svgn Napa	9998.74999999999	31.130391298912297
Americano Petite Syrah	7800.599999999998	30.774555803399718
Anakota 11 Helena Montana CS	9598.799999999996	18.35177313830889
Anakota Cab Svgn Helena Dako	6799.149999999988	37.80913790694413
Anarkos Puglia	1498.8000000000002	66.21297037630104
Anastasi Estates Dry Wh Mesn	239.80000000000007	100.0
Anastasi Estates Messinia Rd	1618.650000000001	85.28403299045502
Anderra Carmenere	539.4	32.92547274749722
Andre Jacquart Brut Experien	2499.499999999998	100.0
Andre Moscato	2790.199999999997	23.446347932047786
Andre Pink Moscato	1202.9000000000008	20.093108321556276
Andrew Will Two Blondes WA	4019.4	33.333333333333336
Angela Yamhill-Carlton Pnt N	5363.549999999987	19.389210504236786
Angeline Chard Cal	1088.8000000000004	18.49742836149893
Angeline Svgn Bl RRV	1275.749999999999	34.156378600823004
