Description	TotalSalesDollars	ProfitMargin
2 Copas Spain White	599.4	33.33333333333333
2 Gingers Irish Whiskey	1609.3000000000004	40.88734232274902
900 Grapes Svgn Bl	299.7	32.43243243243243
A by Acacia Red Cal	719.4	45.204336947456206
Aalto Ribera Del Duero Red	249.95000000000002	32.426485297059415
Absolut Hibiskus	769.6500000000002	27.5579809004093
Absolut Orient Apple Vodka	599.7000000000002	87.65215941303987
Absolut Peppar Vodka	1199.4	19.739036184759062
Achaval Ferrer Cab Svgn	1149.5000000000002	15.010874293170968
Albero Sparkling Wh Organic	28.95	28.497409326424872
Alisios Pinot Grigio	599.4	33.33333333333333
Alize Coco Liqueur	479.70000000000016	21.263289555972502
Alize Red Passion	699.6500000000001	31.43714714500108
Allen's Amaretto Liqueur	509.15000000000043	45.67416282038696
Allen's Blue Curacao Liqueur	29.950000000000003	20.03338898163607
Allen's Pomegranate Liqueur	539.1000000000006	13.522537562604436
Alma Negra Gran Almanegra	1249.75	86.20524104820963
Almaden Moscato Rhine	1303.5500000000009	19.911012235817648
Alta Classe Mntplcno Abruzzo	1637.9500000000014	60.7314020574499
Alta Vista Malbec Mendoza	689.4000000000003	42.81984334203657
Altocedro Malbec Reserva	1199.6	31.04368122707568
Amadeo Chianti	958.8	31.53942428035044
Amaro Sfumato Rabarbaro	219.89999999999998	21.282401091405177
Anarkos Puglia	1498.8000000000002	66.21297037630104
Anastasi Estates Messinia Rd	1618.650000000001	85.28403299045502
Anderra Carmenere	539.4	32.92547274749722
Andre Pink Moscato	1202.9000000000008	20.093108321556276
Angeline Chard Cal	1088.8000000000004	18.49742836149893
Angeline Svgn Bl RRV	1275.749999999999	34.156378600823004
Angels Envy Hanover Chop	1379.7	23.070232659273753
Anna de Codorniu Brut Rose	959.4000000000003	34.6466541588493
Antico Colle Chianti Colli	1318.8000000000002	33.7579617834395
Antinori Cervaro della Salla	1359.6000000000001	37.65813474551339
Antiquary 12 Yr Old Scotch	674.7	24.23299244108493
Anton Bauer Gmork Rose	839.4	34.6676197283774
Apimed Trnava Mead	1678.5	40.12511170688114
Arabella Chard	659.4	33.75796178343949
Arca Nova Rose	1318.8000000000002	31.028207461328478
Archetype Shiraz/Cab Barossa	714.4500000000004	26.768843166071836
Argentiera Poggio Ginerpi Bo	1139.4	32.43812532912059
Argiano Non Confunditur Rsso	1319.4000000000003	35.47066848567532
Argiola Costera Isola dei N	749.2500000000001	45.94594594594595
Arrogant Frog Chardonnay	1198.8000000000002	67.51751751751752
Asamai Shuzo Heavens Door	599.8000000000001	1.3171057019006485
Assyrtiko-Athiri Atlantis	959.4	33.77110694183865
Astraly Touraine Nobel Rose	449.7	31.02068045363576
Atholl Brose Scotch Liqueur	1649.7	27.532278596108384
Aviary Chard	1079.4	42.30127848804893
Avion Espresso	1014.6500000000001	39.97930320800276
B & G Cotes du Rhone Red	779.4	49.03772132409546
