VendorNumber,VendorName,Brand,PurchasePrice,Description,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,Freight_cost,GrossProfit,ProfitMargin,StockTurnover,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1128,BROWN-FORMAN CORP,1233,26.27,Jack Daniels No 7 Black,36.99,1750.0,725400,19056257.999998413,710245,25509597.55000105,3364096.5500073154,1304996.0000000577,343008.3999999999,6453339.550002638,25.29769251495844,0.9791080783016267,26.26999999999781,Large,398121.85
4425,MARTIGNETTI COMPANIES,3405,23.19,Tito's Handmade Vodka,28.99,1750.0,820190,19020206.100000206,801235,24095367.450001635,2807561.8500044513,1472193.3000000864,724646.2000000004,5075161.350001428,21.062809523583688,0.9768895012131336,23.19000000000025,Large,439566.45
17035,PERNOD RICARD USA,8068,18.24,Absolut 80 Proof,24.99,1750.0,937035,17091518.400001075,935700,22690603.000003368,2305700.750001194,1719270.3500001077,618901.1000000003,5599084.600002293,24.67578583081931,0.9985752933454993,18.240000000001146,Large,24350.399999999998
3960,DIAGEO NORTH AMERICA INC,4261,16.17,Capt Morgan Spiced Rum,22.99,1750.0,1008410,16305989.699998392,1002060,22379864.400003366,2100250.049999246,1841214.0000001155,1285160.3500000003,6073874.700004974,27.13990840804228,0.9937029581221923,16.169999999998407,Large,102679.50000000001
3960,DIAGEO NORTH AMERICA INC,3545,21.89,Ketel One Vodka,29.99,1750.0,690545,15116030.049998831,679190,21115538.10000416,2728891.4000039524,1247939.1500000278,1285160.3500000003,5999508.050005328,28.41276420042616,0.9835564662693959,21.889999999998306,Large,248560.95
480,BACARDI USA INC,3858,17.77,Grey Goose Vodka,23.99,750.0,694045,12333179.650000323,709300,16919562.00001309,2234660.4500005296,558495.9499998129,446431.3500000002,4586382.350012768,27.106980369877302,1.0219798428055817,17.770000000000465,Large,-271081.35
17035,PERNOD RICARD USA,2589,30.76,Jameson Irish Whiskey,39.99,1750.0,353915,10886425.399999067,348135,13866838.65001257,3072646.70000497,639658.3500001323,618901.1000000003,2980413.2500135023,21.49309821248119,0.9836683949535906,30.759999999997365,Large,177792.80000000002
3960,DIAGEO NORTH AMERICA INC,3102,12.94,Smirnoff Traveler,17.99,1750.0,806930,10441674.19999996,741325,12960206.750007184,1462931.4499993129,1362113.0000000473,1285160.3500000003,2518532.550007224,19.43281151750012,0.9186980283295949,12.93999999999995,Large,848928.7
3960,DIAGEO NORTH AMERICA INC,3489,20.73,Tanqueray,27.99,1750.0,459175,9518697.750000698,452405,13202455.950011738,2518305.1000026357,831222.199999984,1285160.3500000003,3683758.200011039,27.90206772102704,0.9852561659498013,20.73000000000152,Large,140342.1
12546,JIM BEAM BRANDS COMPANY,1376,16.29,Jim Beam,21.99,1750.0,544330,8867135.700001337,535305,12176966.950010004,2134513.8999996153,983536.7499998789,619404.8500000003,3309831.250008667,27.181080999862182,0.9834199842007606,16.290000000002454,Large,147017.25
17035,PERNOD RICARD USA,2585,16.42,Jameson Irish Whiskey,22.99,750.0,466025,7652130.500001017,456235,10744827.650011186,2180058.199999998,359202.84999991884,618901.1000000003,3092697.1500101686,28.783124781037777,0.9789925433184915,16.420000000002183,Large,160751.80000000002
3960,DIAGEO NORTH AMERICA INC,2757,22.38,Johnnie Walker Red Label,29.99,1750.0,334710,7490809.799999635,307165,9203078.350008603,2214281.0000002966,564375.9500002054,1285160.3500000003,1712268.5500089685,18.605389250080304,0.917704878850348,22.37999999999891,Large,616457.1
480,BACARDI USA INC,2663,21.42,Dewars White Label,29.99,1750.0,345005,7390007.099998643,350610,10946843.900010498,2479789.150002205,644195.4000001343,446431.3500000002,3556836.8000118556,32.49189293736475,1.0162461413602701,21.419999999996065,Large,-120059.1
